pearson_FPR,pearson_TPR,pearson_cutoff,spearman_FPR,spearman_TPR,spearman_cutoff
0,0.0108116113744076,0.99697191589003,0,0.0109597156398104,0.955736224028907
0,0.0109597156398104,0.996967220596202,0,0.0111078199052133,0.955632094572779
0,0.0111078199052133,0.996945704851589,0,0.0112559241706161,0.955225277069592
0,0.0112559241706161,0.996931801473223,0,0.011404028436019,0.954962482865733
0,0.011404028436019,0.996836418302919,0,0.0115521327014218,0.954623727565619
0,0.0115521327014218,0.996780182195809,0,0.0117002369668246,0.954065040650407
0,0.0117002369668246,0.996779674005853,0,0.0118483412322275,0.953912825702065
0,0.0118483412322275,0.996773615040409,0,0.0119964454976303,0.953726287262873
0,0.0119964454976303,0.996771784875522,0,0.0121445497630332,0.953175811977337
0,0.0121445497630332,0.996728743563116,0,0.012292654028436,0.953041598761046
