complex_id	uniprot_a	uniprot_b	combined_score
P70288	P70288	Q99MR0	1
P70288	P70288	Q9JI44	1
P70288	P70288	Q9R190	1
P70288	P70288	Q9Z0H3	1
P70288	P70288	Q9Z2D6	1
P70288	P70288	Q9Z2D8	1
P70288	P70288	Q9Z2E1	1
P70288	P70288	Q9Z2N8	1
P70336	P70336	O88935	1
P70336	P70336	P28660	1
P70336	P70336	P39053	1
P70336	P70336	P60710	1
P70336	P70336	P63017	1
P70336	P70336	P70336	1
P70336	P70336	Q64332	1
P70336	P70336	Q7TMB8	1
P70336	P70336	Q9JJV2	1
P70339	P70339	O35625	1
P70339	P70339	P51141	1
P70339	P70339	P70339	1
P70339	P70339	Q9WV60	1
P70340	P70340	O09106	1
P70340	P70340	P70340	1
P70340	P70340	P97471	1
P70340	P70340	P97503	1
P70340	P70340	Q01705	1
P70340	P70340	Q09472	1
P70340	P70340	Q60520	1
P70340	P70340	Q60972	1
P70340	P70340	Q60973	1
P70340	P70340	Q92831	1
P70340	P70340	Q9QZH6	1
P70362	P70362	P11881	1
P70362	P70362	P60670	1
P70362	P70362	P70362	1
P70362	P70362	Q01853	1
P70365	P70365	P45481	1
P70365	P70365	P70365	1
P70365	P70365	Q8BJ14	1
P70398	P70398	P70398	1
P70398	P70398	Q5YB86	1
P70444	P70444	O08734	1
P70444	P70444	P70444	1
P70452	P70452	O09044	1
P70452	P70452	O70404	1
P70452	P70452	O70439	1
P70452	P70452	O88384	1
P70452	P70452	P63024	1
P70452	P70452	P63044	1
P70452	P70452	P70280	1
P70452	P70452	P70452	1
P70452	P70452	Q9JKK1	1
P70478	P70478	P70478	1
P70478	P70478	Q9WV62	1
P70478	P70478	Q9Z340	1
P70483	P70483	P41350	1
P70483	P70483	P58404	1
P70483	P70483	P58405	1
P70483	P70483	P70483	1
P70581	P70581	O08587	1
P70581	P70581	O08658	1
P70581	P70581	O15504	1
P70581	P70581	O88989	1
P70581	P70581	P11654	1
P70581	P70581	P12270	1
P70581	P70581	P17955	1
P70581	P70581	P35658	1
P70581	P70581	P37199	1
P70581	P70581	P49791	1
P70581	P70581	P49792	1
P70581	P70581	P52591	1
P70581	P70581	P52948	1
P70581	P70581	P55735	1
P70581	P70581	P57740	1
P70581	P70581	P70581	1
P70581	P70581	P70582	1
P70581	P70581	Q12769	1
P70581	P70581	Q3SWS8	1
P70581	P70581	Q5RJY5	1
P70581	P70581	Q66HC5	1
P70581	P70581	Q68FY1	1
P70581	P70581	Q8NFH3	1
P70581	P70581	Q8NFH4	1
P70581	P70581	Q8WUM0	1
P70581	P70581	Q92621	1
P70581	P70581	Q96EE3	1
P70581	P70581	Q9BW27	1
P70581	P70581	Q9NRG9	1
P70582	P70582	O08587	1
P70582	P70582	O08658	1
P70582	P70582	O15504	1
P70582	P70582	P11654	1
P70582	P70582	P12270	1
P70582	P70582	P17955	1
P70582	P70582	P35658	1
P70582	P70582	P37199	1
P70582	P70582	P49791	1
P70582	P70582	P49792	1
P70582	P70582	P52591	1
P70582	P70582	P52948	1
P70582	P70582	P55735	1
P70582	P70582	P57740	1
P70582	P70582	P70581	1
P70582	P70582	P70582	1
P70582	P70582	Q12769	1
P70582	P70582	Q3SWS8	1
P70582	P70582	Q5RJY5	1
P70582	P70582	Q66HC5	1
P70582	P70582	Q68FY1	1
P70582	P70582	Q8NFH3	1
P70582	P70582	Q8NFH4	1
P70582	P70582	Q8WUM0	1
P70582	P70582	Q92621	1
P70582	P70582	Q96EE3	1
P70582	P70582	Q9BW27	1
P70582	P70582	Q9NRG9	1
P70587	P70587	P11275	1
P70587	P70587	P70587	1
P70587	P70587	Q00960	1
P70587	P70587	Q9JI91	1
P70600	P70600	P48037	1
P70600	P70600	P50904	1
P70600	P70600	P70600	1
P70600	P70600	Q62844	1
P70662	P70662	P15806	1
P70662	P70662	P17679	1
P70662	P70662	P22091	1
P70662	P70662	P25801	1
